Date,Count
01/04/2019 00:00,65513
02/04/2019 00:00,60418
03/04/2019 00:00,48561
04/04/2019 00:00,54177
05/04/2019 00:00,74006
06/04/2019 00:00,9491
07/04/2019 00:00,23576
08/04/2019 00:00,68209
09/04/2019 00:00,54732
10/04/2019 00:00,68401
11/04/2019 00:00,78676
12/04/2019 00:00,65882
13/04/2019 00:00,26854
14/04/2019 00:00,30685
15/04/2019 00:00,3332
16/04/2019 00:00,40914
17/04/2019 00:00,51841
18/04/2019 00:00,124621
19/04/2019 00:00,86589
20/04/2019 00:00,9425
21/04/2019 00:00,3184
22/04/2019 00:00,61928
23/04/2019 00:00,30276
24/04/2019 00:00,40240
25/04/2019 00:00,24880
26/04/2019 00:00,84436
27/04/2019 00:00,8215
28/04/2019 00:00,14444
29/04/2019 00:00,55936
30/04/2019 00:00,33885
01/05/2019 00:00,31189
02/05/2019 00:00,35867
03/05/2019 00:00,23565
04/05/2019 00:00,8535
05/05/2019 00:00,11835
06/05/2019 00:00,52399
07/05/2019 00:00,54896
08/05/2019 00:00,82747
09/05/2019 00:00,68046
10/05/2019 00:00,48946
11/05/2019 00:00,7855
12/05/2019 00:00,14000
13/05/2019 00:00,65455
14/05/2019 00:00,113373
15/05/2019 00:00,39982
16/05/2019 00:00,111856
17/05/2019 00:00,95124
18/05/2019 00:00,9924
19/05/2019 00:00,14078
20/05/2019 00:00,94881
21/05/2019 00:00,42857
22/05/2019 00:00,21794
23/05/2019 00:00,82461
24/05/2019 00:00,69605
25/05/2019 00:00,12019
26/05/2019 00:00,5706
27/05/2019 00:00,39217
28/05/2019 00:00,78099
29/05/2019 00:00,105561
30/05/2019 00:00,83449
31/05/2019 00:00,73510
01/06/2019 00:00,12439
02/06/2019 00:00,32838
03/06/2019 00:00,33707
04/06/2019 00:00,28169
05/06/2019 00:00,26972
06/06/2019 00:00,41859
07/06/2019 00:00,30561
08/06/2019 00:00,7029
09/06/2019 00:00,46100
10/06/2019 00:00,47546
11/06/2019 00:00,51972
12/06/2019 00:00,36070
13/06/2019 00:00,96281
14/06/2019 00:00,38898
15/06/2019 00:00,7657
16/06/2019 00:00,16426
17/06/2019 00:00,158350
18/06/2019 00:00,38682
19/06/2019 00:00,34587
20/06/2019 00:00,54520
21/06/2019 00:00,40726
22/06/2019 00:00,8856
23/06/2019 00:00,27973
24/06/2019 00:00,45231
25/06/2019 00:00,119104
26/06/2019 00:00,45180
27/06/2019 00:00,32772
28/06/2019 00:00,40971
29/06/2019 00:00,10325
30/06/2019 00:00,42882
01/07/2019 00:00,41948
02/07/2019 00:00,40886
03/07/2019 00:00,62714
04/07/2019 00:00,86069
05/07/2019 00:00,43265
06/07/2019 00:00,8556
07/07/2019 00:00,59769
08/07/2019 00:00,89657
09/07/2019 00:00,66778
10/07/2019 00:00,63485
11/07/2019 00:00,52006
12/07/2019 00:00,55305
13/07/2019 00:00,11601
14/07/2019 00:00,21237
15/07/2019 00:00,55803
16/07/2019 00:00,78441
17/07/2019 00:00,85779
18/07/2019 00:00,75360
19/07/2019 00:00,49389
20/07/2019 00:00,3977
21/07/2019 00:00,37811
22/07/2019 00:00,90150
23/07/2019 00:00,174663
24/07/2019 00:00,63162
25/07/2019 00:00,50663
26/07/2019 00:00,48820
27/07/2019 00:00,8299
28/07/2019 00:00,29716
29/07/2019 00:00,49508
30/07/2019 00:00,47509
31/07/2019 00:00,68360
01/08/2019 00:00,91798
02/08/2019 00:00,43772
03/08/2019 00:00,10500
04/08/2019 00:00,18543
05/08/2019 00:00,78758
06/08/2019 00:00,89654
07/08/2019 00:00,63722
08/08/2019 00:00,118652
09/08/2019 00:00,60648
10/08/2019 00:00,19430
11/08/2019 00:00,7031
12/08/2019 00:00,58214
13/08/2019 00:00,58591
14/08/2019 00:00,66965
15/08/2019 00:00,48027
16/08/2019 00:00,24697
17/08/2019 00:00,7059
18/08/2019 00:00,17824
19/08/2019 00:00,67597
20/08/2019 00:00,59111
21/08/2019 00:00,61284
22/08/2019 00:00,55101
23/08/2019 00:00,31091
24/08/2019 00:00,13706
25/08/2019 00:00,16771
26/08/2019 00:00,87030
27/08/2019 00:00,42508
28/08/2019 00:00,85866
29/08/2019 00:00,30402
30/08/2019 00:00,36253
31/08/2019 00:00,7241
01/09/2019 00:00,29958
02/09/2019 00:00,48442
05/09/2019 00:00,26574
06/09/2019 00:00,35063
07/09/2019 00:00,5000
08/09/2019 00:00,46895
09/09/2019 00:00,49644
10/09/2019 00:00,42974
11/09/2019 00:00,98290
12/09/2019 00:00,37876
13/09/2019 00:00,56981
14/09/2019 00:00,7018
15/09/2019 00:00,15367
16/09/2019 00:00,81071
17/09/2019 00:00,0
18/09/2019 00:00,0
19/09/2019 00:00,0
20/09/2019 00:00,0
21/09/2019 00:00,6938
22/09/2019 00:00,5800
23/09/2019 00:00,54871
24/09/2019 00:00,40753
25/09/2019 00:00,247190
27/09/2019 00:00,39035
28/09/2019 00:00,9503
29/09/2019 00:00,43855
30/09/2019 00:00,42693
01/10/2019 00:00,61769
02/10/2019 00:00,208983
03/10/2019 00:00,98354
04/10/2019 00:00,114659
05/10/2019 00:00,13462
06/10/2019 00:00,19864
07/10/2019 00:00,51832
09/10/2019 00:00,59180
10/10/2019 00:00,53821
11/10/2019 00:00,121350
12/10/2019 00:00,39077
13/10/2019 00:00,6698
14/10/2019 00:00,366887
15/10/2019 00:00,98299
16/10/2019 00:00,53723
17/10/2019 00:00,156412
18/10/2019 00:00,74766
19/10/2019 00:00,79176
20/10/2019 00:00,15707
21/10/2019 00:00,70701
22/10/2019 00:00,174394
23/10/2019 00:00,121499
24/10/2019 00:00,114012
